Corpus,PhonBank/CHILDES,Longitudinal?,Age range,Language,Audio Attached?,Timestamps?,Sufficient Child Speech,Sufficient Adult Speech,N,link,,Notes
,,,,,,,,,,,,
Braunwald,CHILDES,yes,1;0-6;0,English (NA),yes,yes,yes,yes,1,https://childes.talkbank.org/access/Eng-NA/Braunwald.html,,
Brent,CHILDES,no,0;6-1;0,English (NA),yes,yes,no,yes,16,https://childes.talkbank.org/access/Eng-NA/Brent.html,,
Higginson,CHILDES,no,0;11-2;11,English (NA),no,no,yes,yes,3,https://childes.talkbank.org/access/Eng-NA/Higginson.html,,
Kuczaj,CHILDES,yes,2;4-4;1,English (NA),no,no,yes,yes,1,https://childes.talkbank.org/access/Eng-NA/Kuczaj.html,,
Newman and Ratner,CHILDES,yes,0;7-2;0,English (NA),yes,yes,yes,yes,121,https://childes.talkbank.org/access/Eng-NA/NewmanRatner.html,,
Sachs,CHILDES,yes,1;1-5;1,English (NA),yes,yes,yes,yes,1,https://childes.talkbank.org/access/Eng-NA/Sachs.html,,
Snow,CHILDES,yes,2;3-3;9,English (NA),yes,yes,yes,yes,1,https://childes.talkbank.org/access/Eng-NA/Snow.html,,
Soderstrom,CHILDES,no,0;6-1;0,English (NA),yes,yes,yes,yes,2,https://childes.talkbank.org/access/Eng-NA/Soderstrom.html,,
Compton and Prater,PhonBank,yes,0;8-3;3,English (NA),no,no,yes,no,4,https://phonbank.talkbank.org/access/Eng-NA/ComptonPater.html,,
Davis,PhonBank,yes,0;7-2;4,English (NA),yes,yes,yes,no,21,https://phonbank.talkbank.org/access/Eng-NA/Davis.html,,
Inkelas,PhonBank,yes,0;6-4;0,English (NA),no,no,yes,no,1,https://phonbank.talkbank.org/access/Eng-NA/Inkelas.html,,
Stanford-English,Phonbank,yes,0;8-1;4,English (NA),yes,no,yes,no,5,https://phonbank.talkbank.org/access/Eng-NA/StanfordEnglish.html,,"Audio only, no transcripts "
Menn,Phonbank,yes,0;6-4;0,English (NA),yes,no,no,no,1,https://phonbank.talkbank.org/access/Eng-NA/Menn.html,,
Davis-CDI,Phonbank,yes,0;8-2;11,English (NA),no,no,yes,no,6,https://phonbank.talkbank.org/access/Eng-NA/Davis-CDI.html,,
Providence,Phonbank,yes,1;0-3;0,English (NA),yes,yes,yes,yes,6,https://phonbank.talkbank.org/access/Eng-NA/Providence.html,,
,,,,,,,,,,,,
Kern-French,PhonBank,yes,0;8-0;25,French,yes,yes,yes,no,4,https://phonbank.talkbank.org/access/French/KernFrench.html,,
Paris,PhonBank,yes,0;7-6;03,French,yes,yes,yes,yes,7,https://phonbank.talkbank.org/access/French/Paris.html,,
Stanford-French,Phonbank,yes,0;9-1;07,French,yes,no,yes,no,6,https://phonbank.talkbank.org/access/French/StanfordFrench.html,,
